,Symbol,Name,LastSale,Sector
710,CMSC,CMS Energy Corporation,27.09,Public Utilities
711,CMSD,CMS Energy Corporation,26.99,Public Utilities
712,CNA,CNA Financial Corporation,46.31,Finance
713,CNF,CNFinance Holdings Limited,5.58,Finance
714,CNHI,CNH Industrial N.V.,9.23,Capital Goods
715,CNO,"CNO Financial Group, Inc.",15.24,Finance
716,CEO,CNOOC Limited,150.8,Energy
717,CNXM,CNX Midstream Partners LP,14.61,Public Utilities
718,CEIX,CNX Resources Corporation,19.13,Energy
719,CNX,CNX Resources Corporation,6.83,Energy
720,KOF,Coca Cola Femsa S.A.B. de C.V.,59.02,Consumer Non-Durables
721,KO,Coca-Cola Company (The),51.65,Consumer Non-Durables
722,CCEP,Coca-Cola European Partners plc,54.33,Consumer Non-Durables
723,CDE,"Coeur Mining, Inc.",5.12,Basic Industries
726,CNS,Cohen & Steers Inc,50.44,Finance
734,CFX,Colfax Corporation,24.71,Capital Goods
735,CFXA,Colfax Corporation,114.09,Capital Goods
736,CL,Colgate-Palmolive Company,68.8,Consumer Non-Durables
737,CCH,Collier Creek Holdings,10.24,Finance
744,CLNY,"Colony Capital, Inc.",5.41,Consumer Services
751,CLNC,"Colony Credit Real Estate, Inc.",15.61,Consumer Services
752,CXP,"Columbia Property Trust, Inc.",20.93,Consumer Services
754,CCZ,Comcast Corporation,52.0,Consumer Services
755,CMA,Comerica Incorporated,64.43,Finance
756,FIX,"Comfort Systems USA, Inc.",39.65,Capital Goods
757,CMC,Commercial Metals Company,16.25,Basic Industries
758,CBU,"Community Bank System, Inc.",61.36,Finance
759,CYH,"Community Health Systems, Inc.",1.91,Health Care
760,CHCT,Community Healthcare Trust Incorporated,41.46,Consumer Services
761,CIG,Comp En De Mn Cemig ADS,3.51,Public Utilities
763,CBD,Companhia Brasileira de Distribuicao,23.47,Consumer Services
764,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,13.55,Public Utilities
765,ELP,Companhia Paranaense de Energia (COPEL),12.17,Public Utilities
766,CCU,"Compania Cervecerias Unidas, S.A.",26.61,Consumer Non-Durables
767,CODI,Compass Diversified Holdings,18.41,Consumer Durables
770,CMP,"Compass Minerals International, Inc.",53.43,Basic Industries
771,CRK,"Comstock Resources, Inc.",5.93,Energy
772,CAG,"ConAgra Brands, Inc.",28.0,Consumer Non-Durables
773,CXO,Concho Resources Inc.,70.23,Energy
774,CCM,Concord Medical Services Holdings Limited,2.68,Health Care
775,CNDT,Conduent Incorporated,8.43,Miscellaneous
776,COP,ConocoPhillips,54.68,Energy
777,CCR,CONSOL Coal Resources LP,15.41,Energy
778,ED,Consolidated Edison Inc,85.48,Public Utilities
779,STZ,Constellation Brands Inc,186.69,Consumer Non-Durables
781,CSTM,Constellium SE,11.19,Basic Industries
782,TCS,Container Store (The),5.17,Consumer Services
783,CBPX,"Continental Building Products, Inc.",22.31,Capital Goods
784,CLR,"Continental Resources, Inc.",31.54,Energy
785,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",8.76,Transportation
786,CTRA,"Contura Energy, Inc.",31.78,Energy
787,CTB,Cooper Tire & Rubber Company,25.43,Consumer Durables
788,CPS,Cooper-Standard Holdings Inc.,40.72,Capital Goods
789,CTK,CooTek (Cayman) Inc.,7.88,Technology
790,CPA,"Copa Holdings, S.A.",98.3,Transportation
791,CLB,Core Laboratories N.V.,42.96,Energy
792,CXW,"CoreCivic, Inc.",16.8,Consumer Services
793,CLGX,"CoreLogic, Inc.",44.84,Technology
794,CORR,"CorEnergy Infrastructure Trust, Inc.",41.16,Consumer Services
796,CPLG,CorePoint Lodging Inc.,11.03,Consumer Services
797,COR,CoreSite Realty Corporation,108.83,Consumer Services
798,CNR,"Cornerstone Building Brands, Inc.",5.94,Capital Goods
799,GLW,Corning Incorporated,28.18,Basic Industries
800,CAAP,Corporacion America Airports SA,7.3,Transportation
801,GYC,Corporate Asset Backed Corp CABCO,22.0003,Finance
802,OFC,Corporate Office Properties Trust,27.2,Consumer Services
803,CTVA,"Corteva, Inc.",29.9,Consumer Non-Durables
804,CZZ,Cosan Limited,13.52,Consumer Non-Durables
805,CMRE,Costamare Inc.,5.4,Transportation
810,COT,Cott Corporation,12.44,Consumer Non-Durables
811,COTY,Coty Inc.,10.15,Consumer Non-Durables
812,CUZ,Cousins Properties Incorporated,33.35,Consumer Services
813,CVA,Covanta Holding Corporation,16.38,Basic Industries
814,CVIA,Covia Holdings Corporation,1.64,Basic Industries
815,CPF,CPB Inc.,28.2,Finance
816,CPL,CPFL Energia S.A.,16.54,Public Utilities
817,CR,Crane Co.,77.75,Capital Goods
820,BAP,Credicorp Ltd.,209.16,Finance
821,CS,Credit Suisse Group,11.37,Finance
822,CPG,Crescent Point Energy Corporation,2.96,Energy
823,CEQP,Crestwood Equity Partners LP,35.13,Consumer Services
825,CRH,CRH PLC,31.3,Capital Goods
826,CRT,Cross Timbers Royalty Trust,10.32,Energy
827,CAPL,CrossAmerica Partners LP,16.28,Energy
828,CCI,Crown Castle International Corporation,133.13,Consumer Services
830,CCK,"Crown Holdings, Inc.",63.35,Consumer Durables
831,CRY,"CryoLife, Inc.",26.68,Health Care
832,CSS,"CSS Industries, Inc.",5.0,Consumer Services
833,CTS,CTS Corporation,29.19,Technology
834,CUBE,CubeSmart,34.37,Consumer Services
835,CUB,Cubic Corporation,63.36,Capital Goods
836,CFR,"Cullen/Frost Bankers, Inc.",85.92,Finance
838,CULP,"Culp, Inc.",16.72,Basic Industries
839,CMI,Cummins Inc.,151.43,Energy
840,CURO,CURO Group Holdings Corp.,12.98,Finance
841,CW,Curtiss-Wright Corporation,118.6,Technology
845,CWK,Cushman & Wakefield plc,17.18,Finance
846,CUBI,"Customers Bancorp, Inc",18.88,Finance
851,CVI,CVR Energy Inc.,48.5,Energy
852,UAN,"CVR Partners, LP",3.73,Basic Industries
853,CVS,CVS Health Corporation,54.51,Health Care
854,CELP,"Cypress Energy Partners, L.P.",7.52,Energy
855,DHI,"D.R. Horton, Inc.",45.93,Capital Goods
856,DAN,Dana Incorporated,14.5,Capital Goods
857,DHR,Danaher Corporation,135.7,Capital Goods
859,DAC,Danaos Corporation,7.32,Transportation
860,DQ,DAQO New Energy Corp.,39.83,Technology
861,DRI,"Darden Restaurants, Inc.",118.02,Consumer Services
862,DAR,Darling Ingredients Inc.,19.56,Consumer Non-Durables
863,DVA,DaVita Inc.,58.63,Health Care
864,DCP,DCP Midstream LP,26.57,Public Utilities
867,DF,Dean Foods Company,1.67,Consumer Non-Durables
868,DECK,Deckers Outdoor Corporation,145.59,Consumer Non-Durables
869,DE,Deere & Company,151.06,Capital Goods
872,DKL,"Delek Logistics Partners, L.P.",32.01,Energy
873,DK,"Delek US Holdings, Inc.",38.01,Energy
874,DELL,Dell Technologies Inc.,50.42,Technology
875,DLPH,Delphi Technologies PLC,15.04,Capital Goods
876,DAL,"Delta Air Lines, Inc.",57.82,Transportation
877,DLX,Deluxe Corporation,41.91,Consumer Durables
878,DNR,Denbury Resources Inc.,0.97,Energy
879,DBI,Designer Brands Inc.,16.75,Consumer Services
880,DESP,"Despegar.com, Corp.",12.9,Consumer Services
881,DKT,Deutsch Bk Contingent Cap Tr V,25.28,Finance
882,DB,Deutsche Bank AG,7.65,Finance
883,DXB,Deutsche Bank AG,24.69,Finance
884,DVN,Devon Energy Corporation,24.06,Energy
885,DHX,"DHI Group, Inc.",3.41,Miscellaneous
886,DHT,"DHT Holdings, Inc.",5.31,Transportation
887,DEO,Diageo plc,163.28,Consumer Non-Durables
888,DO,"Diamond Offshore Drilling, Inc.",6.17,Energy
889,DSSI,Diamond S Shipping Inc.,10.9,Consumer Services
890,DRH,Diamondrock Hospitality Company,9.43,Consumer Services
891,DSX,Diana Shipping inc.,3.18,Transportation
893,DKS,Dick&#39;s Sporting Goods Inc,33.53,Consumer Services
894,DBD,Diebold Nixdorf Incorporated,12.84,Miscellaneous
895,DLR,"Digital Realty Trust, Inc.",115.51,Consumer Services
901,DDS,"Dillard&#39;s, Inc.",69.97,Consumer Services
902,DDT,"Dillard&#39;s, Inc.",25.89,Consumer Services
903,DIN,"Dine Brands Global, Inc.",81.1,Consumer Services
904,DPLO,"Diplomat Pharmacy, Inc.",5.11,Health Care
905,DFS,Discover Financial Services,83.2,Finance
907,DLB,Dolby Laboratories,57.38,Miscellaneous
908,DG,Dollar General Corporation,132.65,Consumer Services
909,D,"Dominion Energy, Inc.",74.67,Public Utilities
910,DCUD,"Dominion Energy, Inc.",50.28,Public Utilities
911,DCUE,"Dominion Energy, Inc.",100.93,Public Utilities
912,DRUA,"Dominion Energy, Inc.",25.72,Public Utilities
913,DPZ,Domino&#39;s Pizza Inc,239.72,Consumer Non-Durables
914,UFS,Domtar Corporation,36.16,Basic Industries
915,DCI,"Donaldson Company, Inc.",46.8,Capital Goods
916,DFIN,"Donnelley Financial Solutions, Inc.",12.04,Consumer Services
917,LPG,Dorian LPG Ltd.,8.21,Transportation
920,PLOW,"Douglas Dynamics, Inc.",38.29,Capital Goods
921,DEI,"Douglas Emmett, Inc.",39.65,Consumer Services
922,DOV,Dover Corporation,89.9,Technology
923,DVD,"Dover Motorsports, Inc.",2.01,Consumer Services
924,DOW,Dow Inc.,44.77,Basic Industries
925,RDY,Dr. Reddy&#39;s Laboratories Ltd,35.21,Health Care
926,DRD,DRDGOLD Limited,3.44,Basic Industries
927,DRQ,"Dril-Quip, Inc.",47.68,Energy
928,DS,Drive Shack Inc.,4.75,Consumer Services
932,DTE,DTE Energy Company,126.92,Public Utilities
933,DTJ,DTE Energy Company,26.03,Public Utilities
934,DTQ,DTE Energy Company,25.33,Public Utilities
935,DTV,DTE Energy Company,55.69,Public Utilities
936,DTW,DTE Energy Company,26.55,Public Utilities
937,DTY,DTE Energy Company,27.61,Public Utilities
938,DCO,Ducommun Incorporated,39.33,Capital Goods
944,DUK,Duke Energy Corporation,86.96,Public Utilities
945,DUK^A,Duke Energy Corporation,27.1841,Public Utilities
946,DUKB,Duke Energy Corporation,26.85,Public Utilities
947,DUKH,Duke Energy Corporation,25.26,Public Utilities
948,DRE,Duke Realty Corporation,32.08,Consumer Services
949,DD,"DuPont de Nemours, Inc.",66.06,Basic Industries
950,DXC,DXC Technology Company,50.86,Technology
951,DY,"Dycom Industries, Inc.",49.56,Basic Industries
952,DLNG,Dynagas LNG Partners LP,1.3,Consumer Services
956,DX,"Dynex Capital, Inc.",15.9,Consumer Services
961,ELF,"e.l.f. Beauty, Inc.",15.84,Consumer Non-Durables
963,EXP,Eagle Materials Inc,82.71,Capital Goods
970,ESTE,"Earthstone Energy, Inc.",3.61,Energy
971,DEA,"Easterly Government Properties, Inc.",18.94,Consumer Services
972,EGP,"EastGroup Properties, Inc.",117.41,Consumer Services
973,EMN,Eastman Chemical Company,67.94,Basic Industries
974,KODK,Eastman Kodak Company,2.44,Miscellaneous
975,ETN,"Eaton Corporation, PLC",76.83,Technology
978,EV,Eaton Vance Corporation,40.36,Finance
999,ECT,ECA Marcellus Trust I,1.62,Energy
1000,ECL,Ecolab Inc.,194.35,Basic Industries
1001,EC,Ecopetrol S.A.,16.49,Energy
1002,EIX,Edison International,72.51,Public Utilities
1003,EW,Edwards Lifesciences Corporation,209.43,Health Care
1004,EP^C,El Paso Corporation,53.0,Public Utilities
1005,EE,El Paso Electric Company,66.54,Public Utilities
1006,ELAN,Elanco Animal Health Incorporated,31.81,Health Care
1007,ESTC,Elastic N.V.,89.41,Technology
1008,EGO,Eldorado Gold Corporation,8.66,Basic Industries
1009,ESI,Element Solutions Inc.,9.44,Basic Industries
1010,ELVT,"Elevate Credit, Inc.",5.11,Finance
1011,LLY,Eli Lilly and Company,108.71,Health Care
1012,EFC,Ellington Financial Inc.,16.87,Finance
1013,EARN,Ellington Residential Mortgage REIT,10.93,Consumer Services
1016,ERJ,Embraer S.A.,19.32,Capital Goods
1017,EME,"EMCOR Group, Inc.",80.65,Capital Goods
1018,EEX,"Emerald Expositions Events, Inc.",9.47,Miscellaneous
1019,EBS,"Emergent Biosolutions, Inc.",43.12,Health Care
1020,EMR,Emerson Electric Company,59.45,Energy
1021,ESRT,"Empire State Realty Trust, Inc.",13.18,Consumer Services
1022,EIG,Employers Holdings Inc,41.72,Finance
1023,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),17.27,Public Utilities
1024,ENBL,"Enable Midstream Partners, LP",13.09,Public Utilities
1025,ENB,Enbridge Inc,32.93,Energy
1026,ENBA,Enbridge Inc,26.89,Energy
1027,ECA,Encana Corporation,4.25,Energy
1028,EHC,Encompass Health Corporation,60.13,Health Care
1029,DAVA,Endava plc,35.85,Technology
1030,EXK,Endeavour Silver Corporation,2.56,Basic Industries
1031,ENIA,Enel Americas S.A.,7.89,Public Utilities
1032,ENIC,Enel Chile S.A.,4.14,Public Utilities
1033,ENR,"Energizer Holdings, Inc.",39.11,Miscellaneous
1035,EPC,"Energizer Holdings, Inc.",28.96,Consumer Non-Durables
1036,ET,Energy Transfer L.P.,13.3,Public Utilities
1040,ERF,Enerplus Corporation,5.93,Energy
1041,ENS,Enersys,64.13,Consumer Non-Durables
1042,E,ENI S.p.A.,30.03,Energy
1043,ENLC,"EnLink Midstream, LLC",8.74,Public Utilities
1044,EBF,"Ennis, Inc.",19.8,Consumer Services
1045,ENVA,"Enova International, Inc.",26.03,Finance
1046,NPO,EnPro Industries,64.11,Basic Industries
1047,ETM,Entercom Communications Corp.,5.23,Consumer Services
1048,EAB,"Entergy Arkansas, LLC",26.42,Public Utilities
1049,EAE,"Entergy Arkansas, LLC",25.758000000000003,Public Utilities
1050,EAI,"Entergy Arkansas, LLC",26.12,Public Utilities
1051,ETR,Entergy Corporation,104.91,Public Utilities
1052,ELC,"Entergy Louisiana, Inc.",25.83,Public Utilities
1053,ELJ,"Entergy Louisiana, Inc.",25.58,Public Utilities
1054,ELU,"Entergy Louisiana, Inc.",25.33,Public Utilities
1055,EMP,"Entergy Mississippi, LLC",26.06,Public Utilities
1056,ENJ,"Entergy New Orleans, LLC",25.4838,Public Utilities
1057,ENO,"Entergy New Orleans, LLC",26.6878,Public Utilities
1058,EZT,Entergy Texas Inc,27.491,Public Utilities
1059,EPD,Enterprise Products Partners L.P.,29.01,Public Utilities
1060,EVC,Entravision Communications Corporation,3.06,Consumer Services
1061,ENV,"Envestnet, Inc",65.63,Miscellaneous
1062,EVA,"Enviva Partners, LP",29.92,Basic Industries
1063,ENZ,"Enzo Biochem, Inc.",3.24,Health Care
1064,EOG,"EOG Resources, Inc.",79.0,Energy
1065,EPAM,"EPAM Systems, Inc.",176.38,Technology
1066,EPR,EPR Properties,73.14,Consumer Services
1070,EQM,"EQM Midstream Partners, LP",34.96,Public Utilities
1071,EQT,EQT Corporation,13.07,Energy
1072,EFX,"Equifax, Inc.",134.68,Finance
1073,EQNR,Equinor ASA,17.01,Energy
1074,ETRN,Equitrans Midstream Corporation,15.35,Public Utilities
1075,EQC,Equity Commonwealth,33.43,Consumer Services
1077,ELS,"Equity Lifestyle Properties, Inc.",124.74,Consumer Services
1078,EQR,Equity Residential,78.18,Consumer Services
1080,ERA,"Era Group, Inc.",10.57,Transportation
1081,EROS,Eros International PLC,1.49,Consumer Services
1082,ESE,ESCO Technologies Inc.,79.01,Capital Goods
1083,ESNT,Essent Group Ltd.,44.85,Finance
1084,EPRT,"Essential Properties Realty Trust, Inc.",20.41,Consumer Services
1085,ESS,"Essex Property Trust, Inc.",294.42,Consumer Services
1086,EL,"Estee Lauder Companies, Inc. (The)",174.56,Consumer Non-Durables
1087,ETH,Ethan Allen Interiors Inc.,17.55,Consumer Durables
1088,EURN,Euronav NV,7.81,Transportation
1090,EB,"Eventbrite, Inc.",16.45,Technology
1091,EVR,Evercore Inc.,77.99,Finance
1092,RE,"Everest Re Group, Ltd.",239.15,Finance
1093,EVRG,"Evergy, Inc.",60.41,Public Utilities
1094,EVRI,Everi Holdings Inc.,11.0,Consumer Services
1095,ES,Eversource Energy,76.55,Public Utilities
1096,EVTC,"Evertec, Inc.",34.76,Technology
1097,EVH,"Evolent Health, Inc",6.12,Consumer Services
1098,AQUA,Evoqua Water Technologies Corp.,12.9,Technology
1099,XAN,Exantas Capital Corp.,11.14,Consumer Services
1101,EXC,Exelon Corporation,44.42,Public Utilities
1102,EXPR,"Express, Inc.",2.16,Consumer Services
1103,EXTN,Exterran Corporation,12.38,Technology
1104,EXR,Extra Space Storage Inc,114.12,Consumer Services
1105,XOM,Exxon Mobil Corporation,70.28,Energy
1106,FNB,F.N.B. Corporation,11.13,Finance
1108,FN,Fabrinet,49.52,Public Utilities
1109,FDS,FactSet Research Systems Inc.,269.87,Technology
1110,FICO,Fair Isaac Corporation,338.65,Miscellaneous
1111,SFUN,Fang Holdings Limited,1.93,Technology
1112,FPAC,Far Point Acquisition Corporation,10.35,Finance
1115,FTCH,Farfetch Limited,18.09,Miscellaneous
1116,FPI,Farmland Partners Inc.,5.94,Consumer Services
1118,FSLY,"Fastly, Inc.",19.8,Technology
1119,FBK,FB Financial Corporation,35.73,Finance
1120,FFG,"FBL Financial Group, Inc.",59.48,Finance
1121,AGM,Federal Agricultural Mortgage Corporation,76.74,Finance
1126,FRT,Federal Realty Investment Trust,127.28,Consumer Services
1128,FSS,Federal Signal Corporation,29.37,Capital Goods
1129,FII,"Federated Investors, Inc.",32.8,Finance
1131,FDX,FedEx Corporation,157.26,Transportation
1132,RACE,Ferrari N.V.,156.78,Capital Goods
1133,FGP,"Ferrellgas Partners, L.P.",0.7115,Consumer Services
1134,FOE,Ferro Corporation,12.12,Basic Industries
1135,FG,FGL Holdings,7.05,Finance
1137,FCAU,Fiat Chrysler Automobiles N.V.,12.96,Capital Goods
1138,FNF,"Fidelity National Financial, Inc.",42.47,Finance
1139,FIS,"Fidelity National Information Services, Inc.",125.95,Miscellaneous
1141,FAF,First American Corporation (The),55.03,Finance
1142,FBP,First BanCorp.,9.85,Finance
1143,FCF,First Commonwealth Financial Corporation,12.5,Finance
1144,FHN,First Horizon National Corporation,15.52,Finance
1146,FR,"First Industrial Realty Trust, Inc.",36.77,Consumer Services
1147,AG,First Majestic Silver Corp.,10.02,Basic Industries
1167,FE,FirstEnergy Corp.,43.44,Public Utilities
1168,FIT,"Fitbit, Inc.",3.2,Technology
1169,FPH,"Five Point Holdings, LLC",6.89,Finance
1170,FVRR,Fiverr International Ltd.,23.25,Miscellaneous
1171,FBC,"Flagstar Bancorp, Inc.",32.8,Finance
1177,FLT,"FleetCor Technologies, Inc.",266.74,Miscellaneous
1178,FLNG,FLEX LNG Ltd.,11.6,Consumer Services
1179,FND,"Floor & Decor Holdings, Inc.",42.56,Consumer Services
1180,FTK,"Flotek Industries, Inc.",2.87,Basic Industries
1181,FLO,"Flowers Foods, Inc.",23.88,Consumer Non-Durables
1182,FLS,Flowserve Corporation,44.62,Capital Goods
1183,FLR,Fluor Corporation,21.09,Basic Industries
1185,FMC,FMC Corporation,81.62,Basic Industries
1186,FMX,Fomento Economico Mexicano S.A.B. de C.V.,85.88,Consumer Non-Durables
1187,FL,"Foot Locker, Inc.",38.56,Consumer Services
1188,F,Ford Motor Company,9.23,Capital Goods
1190,FELP,Foresight Energy LP,0.4584,Energy
1191,FOR,Forestar Group Inc,18.38,Finance
1192,FTS,Fortis Inc.,39.6,Public Utilities
1193,FTV,Fortive Corporation,70.41,Capital Goods
1196,FSM,Fortuna Silver Mines Inc.,4.19,Basic Industries
1197,FBHS,"Fortune Brands Home & Security, Inc.",50.49,Basic Industries
1198,FET,"Forum Energy Technologies, Inc.",2.02,Energy
1199,FBM,"Foundation Building Materials, Inc.",16.35,Consumer Services
1200,FCPT,"Four Corners Property Trust, Inc.",26.85,Consumer Services
1201,FEDU,Four Seasons Education (Cayman) Inc.,1.93,Consumer Services
1202,FNV,Franco-Nevada Corporation,90.67,Basic Industries
1203,FC,Franklin Covey Company,34.84,Consumer Services
1204,FSB,"Franklin Financial Network, Inc.",27.95,Finance
1205,BEN,"Franklin Resources, Inc.",30.53,Finance
1207,FI,Frank&#39;s International N.V.,5.01,Energy
1208,FCX,"Freeport-McMoran, Inc.",10.07,Basic Industries
1209,FMS,Fresenius Medical Care Corporation,33.37,Health Care
1210,FDP,"Fresh Del Monte Produce, Inc.",29.0,Consumer Non-Durables
1211,RESI,Front Yard Residential Corporation,11.2,Finance
1212,FRO,Frontline Ltd.,6.76,Transportation
1214,FCN,"FTI Consulting, Inc.",101.39,Consumer Services
1215,FTSI,"FTS International, Inc.",3.03,Energy
1216,FF,FutureFuel Corp.,10.95,Basic Industries
1232,GCAP,"GAIN Capital Holdings, Inc.",4.06,Finance
1233,GBL,"Gamco Investors, Inc.",19.52,Finance
1236,GME,Gamestop Corporation,3.71,Consumer Services
1237,GPS,"Gap, Inc. (The)",17.83,Consumer Services
1238,GDI,"Gardner Denver Holdings, Inc.",30.18,Technology
1239,GTX,Garrett Motion Inc.,12.77,Capital Goods
1240,IT,"Gartner, Inc.",128.02,Consumer Services
1241,GLOG,GasLog LP.,12.7,Consumer Services
1243,GLOP,GasLog Partners LP,19.81,Consumer Services
1247,GTES,Gates Industrial Corporation plc,9.78,Technology
1248,GATX,GATX Corporation,73.34,Consumer Services
1249,GMTA,GATX Corporation,26.39,Consumer Services
1250,GCP,GCP Applied Technologies Inc.,20.31,Basic Industries
1251,GNK,Genco Shipping & Trading Limited ,8.5,Transportation
1252,GNRC,Generac Holdlings Inc.,70.0,Consumer Durables
1255,GD,General Dynamics Corporation,176.77,Capital Goods
1256,GE,General Electric Company,9.66,Energy
1257,GIS,"General Mills, Inc.",52.81,Consumer Non-Durables
1258,GM,General Motors Company,39.01,Capital Goods
1259,GCO,Genesco Inc.,36.78,Consumer Services
1260,GWR,"Genesee & Wyoming, Inc.",109.34,Transportation
1261,GEL,"Genesis Energy, L.P.",21.66,Energy
1262,GEN           ,"Genesis Healthcare, Inc.",1.03,Health Care
1263,GNE,Genie Energy Ltd.,7.59,Public Utilities
1265,G,Genpact Limited,37.6,Consumer Services
1266,GPC,Genuine Parts Company,90.08,Capital Goods
1267,GNW,Genworth Financial Inc,3.89,Finance
1268,GEO,Geo Group Inc (The),17.47,Consumer Services
1269,GPRK,Geopark Ltd,17.55,Energy
1270,GPJA,Georgia Power Company,25.7,Public Utilities
1271,GGB,Gerdau S.A.,3.28,Capital Goods
1272,GTY,Getty Realty Corporation,29.25,Finance
1273,GIG,"GigCapital, Inc.",10.39,Finance
1277,GIX,"GigCapital2, Inc.",9.8,Finance
1281,GIL,"Gildan Activewear, Inc.",38.27,Consumer Non-Durables
1282,GLT,Glatfelter,14.67,Basic Industries
1283,GKOS,Glaukos Corporation,75.06,Health Care
1284,GSK,GlaxoSmithKline PLC,40.36,Health Care
1285,CO,Global Cord Blood Corporation,5.52,Finance
1286,GMRE,Global Medical REIT Inc.,10.27,Consumer Services
1288,GNL,"Global Net Lease, Inc.",19.19,Consumer Services
1290,GLP,Global Partners LP,19.78,Energy
1292,GPN,Global Payments Inc.,153.58,Miscellaneous
1293,GSL,"Global Ship Lease, Inc.",7.54,Transportation
1295,GLOB,Globant S.A.,103.38,Technology
1296,GMED,"Globus Medical, Inc.",49.19,Health Care
1297,GMS,GMS Inc.,20.92,Consumer Services
1298,GNC,"GNC Holdings, Inc.",2.03,Consumer Non-Durables
1299,GDDY,GoDaddy Inc.,65.17,Technology
1300,GOL,Gol Linhas Aereas Inteligentes S.A.,20.57,Transportation
1301,GFI,Gold Fields Limited,5.83,Basic Industries
1303,GS,"Goldman Sachs Group, Inc. (The)",201.68,Finance
1313,GRC,Gorman-Rupp Company (The),31.06,Capital Goods
1314,GPX,GP Strategies Corporation,13.28,Consumer Services
1315,GGG,Graco Inc.,45.43,Capital Goods
1316,GRAF,Graf Industrial Corp.,10.03,Finance
1319,EAF,GrafTech International Ltd.,10.59,Energy
1320,GHM,Graham Corporation,20.23,Technology
1321,GHC,Graham Holdings Company,690.0,Consumer Services
1322,GRAM,Grana y Montero S.A.A.,2.87,Basic Industries
1323,GVA,Granite Construction Incorporated,30.54,Basic Industries
1324,GPMT,Granite Point Mortgage Trust Inc.,18.66,Consumer Services
1326,GPK,Graphic Packaging Holding Company,14.37,Consumer Durables
1327,GTN,"Gray Television, Inc.",16.81,Consumer Services
1329,AJX,Great Ajax Corp.,13.69,Consumer Services
1330,AJXA,Great Ajax Corp.,25.5,Consumer Services
1331,GWB,"Great Western Bancorp, Inc.",30.48,Finance
1332,GDOT,Green Dot Corporation,46.87,Finance
1333,GBX,"Greenbrier Companies, Inc. (The)",26.29,Capital Goods
1334,GHL,"Greenhill & Co., Inc.",14.39,Finance
1335,GHG,GreenTree Hospitality Group Ltd.,10.5,Consumer Services
1338,GFF,Griffon Corporation,18.85,Capital Goods
1339,GPI,"Group 1 Automotive, Inc.",81.42,Consumer Durables
1340,GRUB,GrubHub Inc.,69.04,Miscellaneous
1341,PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",96.85,Transportation
1342,ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",145.13,Transportation
1343,AVAL,Grupo Aval Acciones y Valores S.A.,7.07,Finance
1344,SUPV,Grupo Supervielle S.A.,7.34,Finance
1345,TV,Grupo Televisa S.A.,8.93,Consumer Services
1349,GSX,GSX Techedu Inc.,12.54,Consumer Services
1350,GTT,"GTT Communications, Inc.",11.45,Public Utilities
1351,GSH,Guangshen Railway Company Limited,16.11,Transportation
1352,GES,"Guess?, Inc.",16.05,Consumer Non-Durables
1357,GWRE,"Guidewire Software, Inc.",96.78,Technology
1358,HRB,"H&R Block, Inc.",26.7,Consumer Services
1359,FUL,H. B. Fuller Company,44.25,Basic Industries
1360,HAE,Haemonetics Corporation,117.16,Health Care
1361,HAL,Halliburton Company,20.31,Energy
1362,HBB,Hamilton Beach Brands Holding Company,14.18,Consumer Durables
1363,HBI,Hanesbrands Inc.,15.0,Consumer Services
1364,HNGR,"Hanger, Inc.",16.44,Health Care
1365,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",26.87,Consumer Services
1366,HOG,"Harley-Davidson, Inc.",33.3,Consumer Non-Durables
1367,HMY,Harmony Gold Mining Company Limited,2.85,Basic Industries
1368,HSC,Harsco Corporation,20.27,Capital Goods
1369,HHS,"Harte-Hanks, Inc.",2.75,Technology
1370,HGH,"Hartford Financial Services Group, Inc. (The)",28.66,Finance
1371,HIG,"Hartford Financial Services Group, Inc. (The)",56.56,Finance
1373,HVT,"Haverty Furniture Companies, Inc.",17.56,Consumer Services
1375,HE,"Hawaiian Electric Industries, Inc.",43.32,Public Utilities
1376,HCHC,"HC2 Holdings, Inc.",2.08,Capital Goods
1377,HCA,"HCA Healthcare, Inc.",123.54,Health Care
1378,HCI,"HCI Group, Inc.",39.68,Finance
1379,HCP,"HCP, Inc.",32.45,Consumer Services
1380,HDB,HDFC Bank Limited,109.44,Finance
1381,HR,Healthcare Realty Trust Incorporated,31.92,Consumer Services
1382,HTA,"Healthcare Trust of America, Inc.",26.82,Consumer Services
1383,HL,Hecla Mining Company,2.01,Basic Industries
1384,HL^B,Hecla Mining Company,51.25,Basic Industries
1385,HEI,Heico Corporation,132.41,Capital Goods
1387,HLX,"Helix Energy Solutions Group, Inc.",7.75,Energy
1388,HP,"Helmerich & Payne, Inc.",43.73,Energy
1389,HLF,Herbalife Nutrition Ltd.,38.11,Health Care
1394,HRTG,"Heritage Insurance Holdings, Inc.",13.29,Finance
1395,PSV,Hermitage Offshore Services Ltd.,2.19,Transportation
1396,HT,Hersha Hospitality Trust,14.58,Consumer Services
1400,HSY,Hershey Company (The),149.12,Consumer Non-Durables
1401,HTZ,"Hertz Global Holdings, Inc",14.23,Consumer Services
