,Symbol,Name,LastSale,Sector
147,AMN,AMN Healthcare Services Inc,49.92,Technology
148,AMRX,"Amneal Pharmaceuticals, Inc.",3.02,Health Care
149,AP,Ampco-Pittsburgh Corporation,3.5,Capital Goods
150,APH,Amphenol Corporation,86.21,Capital Goods
151,AXR,AMREP Corporation,6.16,Consumer Services
152,AME,"AMTEK, Inc.",84.08,Consumer Durables
153,APC,Anadarko Petroleum Corporation,73.1,Energy
154,PLAN,"Anaplan, Inc.",53.25,Technology
156,AU,AngloGold Ashanti Limited,20.11,Basic Industries
157,BUD,Anheuser-Busch Inbev SA,98.19,Consumer Non-Durables
158,AXE,Anixter International Inc.,57.42,Consumer Non-Durables
159,NLY,Annaly Capital Management Inc,9.22,Consumer Services
164,AM,Antero Midstream Corporation,7.91,Public Utilities
165,AR,Antero Resources Corporation,4.39,Energy
166,ANTM,"Anthem, Inc.",283.62,Health Care
167,ANH,Anworth Mortgage Asset  Corporation,3.68,Consumer Services
171,AON,Aon plc,183.25,Finance
172,APA,Apache Corporation,23.25,Energy
173,AIV,Apartment Investment and Management Company,48.79,Consumer Services
174,APY,Apergy Corporation,29.58,Technology
175,APHA,Aphria Inc.,7.03,Consumer Durables
176,ARI,Apollo Commercial Real Estate Finance,18.36,Consumer Services
177,APO,"Apollo Global Management, LLC",31.43,Finance
183,APLE,"Apple Hospitality REIT, Inc.",14.85,Consumer Services
184,AIT,"Applied Industrial Technologies, Inc.",55.82,Consumer Durables
185,ATR,"AptarGroup, Inc.",117.08,Consumer Non-Durables
186,APTV,Aptiv PLC,80.99,Capital Goods
187,WTR,"Aqua America, Inc.",40.9,Public Utilities
188,WTRU,"Aqua America, Inc.",56.06,Public Utilities
189,AQ,Aquantia Corp.,13.14,Technology
190,WAAS,AquaVenture Holdings Limited,16.38,Public Utilities
191,ARMK,Aramark,34.88,Consumer Services
192,ABR,Arbor Realty Trust,12.3,Consumer Services
196,ARC,"ARC Document Solutions, Inc.",1.82,Consumer Services
197,MT,ArcelorMittal,14.29,Basic Industries
198,ARCH,"Arch Coal, Inc.",77.19,Energy
199,ADM,Archer-Daniels-Midland Company,37.78,Consumer Non-Durables
200,AROC,"Archrock, Inc.",9.77,Public Utilities
201,ARNC,Arconic Inc.,23.56,Capital Goods
202,ARCO,Arcos Dorados Holdings Inc.,7.57,Consumer Services
203,ACA,"Arcosa, Inc.",34.39,Capital Goods
204,RCUS,"Arcus Biosciences, Inc.",6.6,Health Care
205,ARD,Ardagh Group S.A.,16.83,Consumer Durables
206,ASC,Ardmore Shipping Corporation,6.56,Transportation
208,ACRE,Ares Commercial Real Estate Corporation,14.92,Consumer Services
210,ARES,Ares Management Corporation,26.68,Finance
212,AGX,"Argan, Inc.",38.36,Basic Industries
213,ARGD,"Argo Group International Holdings, Ltd.",25.7,Finance
214,ARGO,"Argo Group International Holdings, Ltd.",65.65,Finance
