Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
OKE,"ONEOK, Inc.",67.67,52.5496,22.344318013890945,Public Utilities
OLN,Olin Corporation,18.16,19.7546,-8.780837004405285,Basic Industries
OLP,"One Liberty Properties, Inc.",28.03,23.8519,14.905815198002143,Consumer Services
OMC,Omnicom Group Inc.,76.79,72.6006,5.4556582888397,Technology
OMF,"OneMain Holdings, Inc.",39.81,23.9189,39.91735744787742,Finance
OMI,"Owens & Minor, Inc.",2.9,6.3267,-118.16206896551724,Health Care
OMN,OMNOVA Solutions Inc.,9.99,7.33,26.626626626626624,Basic Industries
OMP,Oasis Midstream Partners LP,20.15,15.2696,24.220347394540937,Energy
ONDK,"On Deck Capital, Inc.",3.52,5.9,-67.61363636363637,Finance
OOMA,"Ooma, Inc.",11.78,13.88,-17.826825127334477,Technology
OPY,"Oppenheimer Holdings, Inc.",26.81,25.3407,5.480417754569192,Finance
OR,Osisko Gold Royalties Ltd,13.25,8.7524,33.94415094339623,Basic Industries
ORA,"Ormat Technologies, Inc.",64.13,52.1032,18.753781381568682,Public Utilities
ORAN,Orange,14.75,15.7215,-6.586440677966106,Public Utilities
ORC,"Orchid Island Capital, Inc.",6.11,6.0218,1.4435351882160474,Consumer Services
ORCL,Oracle Corporation,53.76,44.7714,16.71986607142857,Technology
ORI,Old Republic International Corporation,21.83,20.189,7.517178195144289,Finance
ORN,"Orion Group Holdings, Inc.",4.48,4.29,4.241071428571437,Basic Industries
OSB,Norbord Inc.,21.0,25.8967,-23.317619047619043,Basic Industries
OSG,"Overseas Shipholding Group, Inc.",1.75,1.66,5.142857142857148,Transportation
OSK,Oshkosh Corporation,75.01,60.8845,18.831489134782032,Capital Goods
OUT,OUTFRONT Media Inc.,26.05,17.5773,32.52476007677543,Consumer Services
OXM,"Oxford Industries, Inc.",68.05,70.3982,-3.4506980161645933,Consumer Non-Durables
OXY,Occidental Petroleum Corporation,49.42,59.6871,-20.775192229866448,Energy
OZM,Och-Ziff Capital Management Group LLC,24.5,8.8905,63.712244897959195,Finance
PAA,"Plains All American Pipeline, L.P.",22.34,19.4823,12.79185317815578,Energy
PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",96.85,81.55,15.797625193598346,Transportation
PAG,"Penske Automotive Group, Inc.",44.59,39.6259,11.132765193989687,Consumer Durables
PAGP,"Plains Group Holdings, L.P.",22.8,19.8016,13.150877192982458,Energy
PAGS,PagSeguro Digital Ltd.,43.27,18.73,56.71365842385024,Technology
PAM,Pampa Energia S.A.,31.2,31.81,-1.9551282051282033,Public Utilities
PANW,"Palo Alto Networks, Inc.",214.53,188.35,12.20342143289983,Technology
PAR,PAR Technology Corporation,25.77,21.75,15.599534342258439,Miscellaneous
PARR,"Par Pacific Holdings, Inc.",22.06,14.18,35.7207615593835,Energy
PAYC,"Paycom Software, Inc.",221.17,122.45,44.63534837455351,Technology
PB,"Prosperity Bancshares, Inc.",64.49,61.9523,3.935028686618071,Finance
PBA,Pembina Pipeline Corp.,36.43,29.0839,20.16497392259127,Energy
PBF,PBF Energy Inc.,23.52,32.0312,-36.18707482993197,Energy
PBFX,PBF Logistics LP,20.77,19.166,7.722676937891186,Energy
PBH,Prestige Consumer Healthcare Inc.,32.6,30.88,5.276073619631909,Health Care
PBI,Pitney Bowes Inc.,3.55,5.806,-63.549295774647895,Miscellaneous
PBR,Petroleo Brasileiro S.A.- Petrobras,14.18,12.963,8.58251057827927,Energy
PBT,Permian Basin Royalty Trust,5.15,5.7784,-12.201941747572816,Energy
PCG,Pacific Gas & Electric Co.,17.95,23.75,-32.31197771587745,Public Utilities
PDM,"Piedmont Office Realty Trust, Inc.",19.52,16.6922,14.486680327868854,Consumer Services
